id,title,content,author_id,author_avatar_url,category,tags_json,latitude,longitude,start_at,end_at,is_all_day,event_date,expire_date,event_image,address,view_count,popularity_score,created_at,updated_at
,鹿児島市立少年合唱隊　第52回定期演奏会,"鹿児島市立少年合唱隊の52回目の定期演奏会です。




program

希La 喜La ♪ 2025 〜春に〜

鹿児島のわらべうた組曲

映画「メリー・ポピンズ」ナンバーより抜粋

WE LOVE  MUSIC 少年少女のための合唱組曲より　きっと　ほんとは　みんな　　他




指揮　吉倉邦子・福山純子
伴奏　蜷川朋子",,,event,"[""音楽"",""教育""]",31.5966,130.5571,2026-03-20T15:00:00.000Z,2026-03-20T15:00:00.000Z,false,2026-03-20T15:00:00.000Z,2026-03-20T15:00:00.000Z,https://www.kcic.jp/admin/wp-content/uploads/2026/02/0ed8af1edb054f1be4e17251e4ba6c55.jpg,谷山サザンホール,0,0,2026-02-16T05:12:20.312Z,2026-02-16T05:12:20.312Z
,羽野昌二／Kristian Enkerud Lien／Emil Bø／Chumakino,ジャズやフリーの概念を超えて日本音楽シーンにその異彩を放ち続け、ピーターブロッツマン、灰野敬二との共作など経て現在も精力的に活動を続けるドラマー羽野昌二と、平均律や物理現象から着想を得た独創的な音楽を追求するノルウェーのギタリスト、Kristian Enkerud Lien、同じくノルウェー出身のジャズトロンボーン奏者で2023年オスロ・ジャズフェスティバルにてタレント賞を受賞し爆発的な演奏力と多彩な表現力を持つEmil Bøが鹿児島に。鹿児島在住のボイスパフォーマーChumakinoとの共演です。,,,event,"[""音楽"",""美術"",""国際交流"",""教育""]",31.5966,130.5571,2026-04-24T15:00:00.000Z,2026-04-24T15:00:00.000Z,false,2026-04-24T15:00:00.000Z,2026-04-24T15:00:00.000Z,https://www.kcic.jp/admin/wp-content/uploads/2026/02/90486_1a7aa39f97408a19db36aea79c606193.jpg,Bar IPANEMA,0,0,2026-02-16T05:12:20.312Z,2026-02-16T05:12:20.312Z
,ランチタイムコンサート,"毎週金曜日の12時20分から12時50分まで、鹿児島市役所みなと大通り別館1階、市民アートギャラリー内でランチタイムコンサートを開催いたします。

無料でどなたでもご覧いただけます。







【今週のランチタイムコンサー演奏予定】




～ 第862回～ 2月20日(金)




出　演 ： 四本美海・剥岩霞・藤田佳奈恵（ピアノ）

曲　目 ： 献呈S.566 R.253
　　　　  ソナタ第14番「月光」第3楽章Op.27-2
　　　　  ソナタ第3番第1楽章Op.58













【今後の演奏予定】

～ 第863回～ 2月27日(金)




出　演 ： 奥光李（ピアノ）

曲　目 ： 主よ、人の望みの喜びよBWV147
　　　　  ピアノソナタ第27番Op.90第2楽章
　　　　  エレジーOp.3-1







～ 第864回～ 3月6日(金)




出　演 ： 橋本さとみ（ソプラノ）、小原富士江（フルート）、高取裕美（ピアノ）

曲　目 ： 城ヶ島の雨 / 北原白秋 詞、 橋本國彦 曲
　　　　 悲しくなったときは / 寺山修司 詞、 中田喜直 曲
　　　　 髪 / 原條あき子 詞 、中田喜直 曲",,,event,"[""音楽"",""その他""]",31.5966,130.5571,2026-02-19T15:00:00.000Z,2026-02-19T15:00:00.000Z,false,2026-02-19T15:00:00.000Z,2026-02-19T15:00:00.000Z,https://www.kcic.jp/admin/wp-content/uploads/2026/02/3aa34153cca0af09129477891682d9e6.png,鹿児島市役所みなと大通り別館１階　市民アートギャラリー,0,0,2026-02-16T05:12:20.312Z,2026-02-16T05:12:20.312Z
,Cruise around the world 大社正照世界を巡る ～撮影紀行・後編～写真展,「ピースボート地球一周の船旅 （V118）」で寄港した世界各地の写真展。世界遺産やオーロラ、野生動物など様々なシーンの写真を鑑賞できます。期間中にギャラリートークも開催いたします。詳細はハルのホームページをご覧ください。家族揃って世界一周気分を体験しよう。,,,event,"[""美術"",""その他"",""国際交流""]",31.5966,130.5571,2026-03-26T15:00:00.000Z,2026-04-20T15:00:00.000Z,false,2026-03-26T15:00:00.000Z,2026-04-20T15:00:00.000Z,https://www.kcic.jp/admin/wp-content/uploads/2026/02/90467_world2_pv1.jpg,アートスペース＆ショップ ハル（平之町）,0,0,2026-02-16T05:12:20.312Z,2026-02-16T05:12:20.312Z
,ハル企画展   「ちょこっと桜島と猫の写真展〜同時開催〜ちょこっと見える 桜島写真」募集！,視界いっぱいに広がる街や自然の景色中に、遠景としてちょこっと見える桜島が溶け込んでいる、魅力的な写真や桜島を中心に鹿児島で見つけた愛らしい猫の写真も展示します！！また、期間中に募集した、皆様の「ちょこっと見える桜島」も展示予定です。ご応募お待ちしております！！,,,event,"[""募集・支援情報"",""美術"",""観光""]",31.5966,130.5571,2026-03-05T15:00:00.000Z,2026-03-15T15:00:00.000Z,false,2026-03-05T15:00:00.000Z,2026-03-15T15:00:00.000Z,https://www.kcic.jp/admin/wp-content/uploads/2026/02/90464_sakurajima_pv-scaled.jpg,アートスペース＆ショップ ハル（平之町）,0,0,2026-02-16T05:12:20.312Z,2026-02-16T05:12:20.312Z
,きょうはたのしいひなまつりin鹿児島,"▶名古屋から吶喊がやってくる◀
名古屋を中心に活動するハードコアデコレーションユニット吶喊が鹿児島に！
大掛かりな段ボールを使った装飾や顔出しパネルの制作、また参加するお客さんを交えての大掛かりな会場作りが特徴の装飾ユニット吶喊が鹿児島に。
今回のテーマはズバリ「ひなまつり×ギャル」
吶喊による異次元の空間作りで大人のためのひなまつりをご提案、、！？！？見た人にしかわからない！体験するには来るしかない！
今回は天文館イパネマ、凡の二会場での開催！
音楽と共にスーパーな吶喊ワールドに酔いしれてください！",,,event,"[""音楽"",""美術"",""国際交流"",""環境"",""その他""]",31.5966,130.5571,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,false,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,https://www.kcic.jp/admin/wp-content/uploads/2026/02/90450_135487.jpg,Bar IPANEMA／Cafe 凡,0,0,2026-02-16T05:12:20.312Z,2026-02-16T05:12:20.312Z
,春の企画展「収蔵庫から こんにちは」,"この度、長島美術館のコレクションの中から、常設では展示されていない作品をご紹介いたします。
 　県内外の作家の中から、まず鹿児島に縁のある作家として、初代鹿児島市立美術館の館長となった谷口午二、日本抽象絵画の先駆者であり武蔵野美術大学の教授を務めた山口長男、文化勲章受章や文化功労者に選出され鹿児島の美術の発展に貢献した吉井淳二。
　また青森出身の斎藤義重や、女性洋画家として初めて文化功労者となった愛知県出身の三岸節子など、個性豊かな作家の作品を展示致します。
 　普段はなかなかご覧いただくことができない作品ですが、今回の展示により、それぞれの魅力を発見していただく企画展です。",,,event,"[""美術"",""教育"",""その他"",""観光""]",31.5966,130.5571,2026-02-10T15:00:00.000Z,2026-04-05T15:00:00.000Z,false,2026-02-10T15:00:00.000Z,2026-04-05T15:00:00.000Z,https://www.kcic.jp/admin/wp-content/uploads/2026/02/90445_8620f44cafb0808c74994d0712efe452-scaled.jpg,長島美術館　本館第7展示室,0,0,2026-02-16T05:12:20.312Z,2026-02-16T05:12:20.312Z
,2026年度助成｜公益財団法人天一美術文化財団,"1.趣旨
芸術全般に渉る助成
美術分野における優れた振興及び普及活動に対する助成及び顕彰。

2.助成の内容
意欲的な美術教育、美術活動。
芸術全般にわたる個々の研究活動に関する未発表の論文ならびに研究発表。
未発表の美術作品。
(ワークショップと講演)　　　　　　　　　　　　　　　　

3.応募方法
助成対象者：美術分野の研究者＜専門・一般＞＜個人・団体 各１人(組) ＞
募　　　集：ホームページ：http://tenichi-museum.com/
　　　　　　助成センター・上毛新聞・銀座百点
　　　　　　各藝術大学、美術関係の講座を持つ大学への案内等により公告
期　　　間：2025年12月1日～2026年8月末日締切り≪必着≫
選　　　考：2026年 9月　助成審査委員会に於いて
発　　　表：2026年 9月中インターネット上で発表・本人通知
　　　　　　2027年 4月に発表会開催
助　成　金：総額50万円（交通費諸費用別途）
発表 日程：受賞者との打ち合わせにより後日発表
提　出　物：1) 経歴書
　　　　　　2) 論文、作品、活動とそれに伴う資料（写真等）
　　　　　　3) ワークショップ並びに講演、あるいは報告の具体的内容
　　　　　　　 を添えて下記財団事務局まで、ご郵送ください。
　　　　　　　　　　　　　　　　　　　　　≪ご提出書類はご返却いたしません。≫

4.応募書類提出先
宛　　先：公益財団法人 天一美術文化財団　事務局　助成係
住　　所：〒104-0061　東京都中央区銀座6-7-15　第二岩月ビル7階
e メール：y.kikuchi@tenichi.co.jp
電話 Fax：TEL(03)3571-5711　fax(03)3571-1309




お問い合わせ

開館時間 9:30 17:00（16:30 受付終了）

問合せ先 TEL:0278-20-4111　




詳しくは助成団体のWEBサイトよりご確認ください。

2026年度助成の募集について | 公益財団法人天一美術文化財団",,,event,"[""募集・支援情報"",""美術"",""その他""]",31.5966,130.5571,2025-11-30T15:00:00.000Z,2026-08-30T15:00:00.000Z,true,2025-11-30T15:00:00.000Z,2026-08-30T15:00:00.000Z,https://www.kcic.jp/admin/wp-content/uploads/2026/02/image0-61.jpeg,,0,0,2026-02-16T05:12:20.312Z,2026-02-16T05:12:20.312Z
,NEXUS 96,"NEXUS 96  /  「当たり前の日常から非日常の遊び場」
📅 2025.02.21（FRI）
📍 DUCKBILL KAGOSHIMA
@club_duckbill 
🕘 OPEN：21:00
💰 DOOR：¥3,000(1D付き)

[Special Guest]
@hiratemarino 
DMC JAPAN 2025 CHMAPION👑

[Guest]
@otairecord_yosuke 
OTAI Record C.E.O

[DJ]
@rusk_the_dj_nexus96 
J-SPOT GRAND PRIX 2025 CHMAPION👑
@takestif",,,event,"[""音楽"",""教育"",""環境""]",31.5966,130.5571,2026-02-20T15:00:00.000Z,2026-02-20T15:00:00.000Z,false,2026-02-20T15:00:00.000Z,2026-02-20T15:00:00.000Z,https://www.kcic.jp/admin/wp-content/uploads/2026/02/90426_IMG_0238-scaled.jpeg,DUCKBILL,0,0,2026-02-16T05:12:20.312Z,2026-02-16T05:12:20.312Z
,Track Making for Absolute Beginners Kagoshima,"Track Making for Absolute Beginners Kagoshima
■ 開催概要

会場：K LINK（鹿児島）
スタジオキャパ：20名

■ 日程

2026年2月21日（土）

■ 昼の部：トラックメイク講座（初心者・未経験者向け）

15:00-18:00
トラックメイク講座（Ableton使用）

内容

HIPHOPトラックメイク基礎

DTM超入門

ラッパー向けトラック制作の考え方

REMIXの基本

ゼロから1曲を組み立てる方法

参加費

講座のみ：2,000円

昼夜通し：3,000円

※事前応募フォーム制",,,event,"[""音楽"",""教育"",""環境""]",31.5966,130.5571,2026-02-20T15:00:00.000Z,2026-02-20T15:00:00.000Z,false,2026-02-20T15:00:00.000Z,2026-02-20T15:00:00.000Z,https://www.kcic.jp/admin/wp-content/uploads/2026/02/90423_IMG_0240-scaled.jpeg,K-LINK 鹿児島,0,0,2026-02-16T05:12:20.312Z,2026-02-16T05:12:20.312Z
